texto,categoria

"Ganhe dinheiro rápido agora",spam
"Você ganhou um prêmio clique aqui",spam
"Promoção exclusiva só hoje",spam
"Parabéns você foi selecionado para ganhar um celular",spam
"Clique no link para resgatar seu benefício",spam
"Oferta imperdível por tempo limitado",spam
"Seu cartão foi bloqueado acesse agora",spam
"Ganhe seguidores grátis imediatamente",spam
"Empréstimo aprovado sem consulta",spam
"Você recebeu um bônus especial",spam
"Ganhe dinheiro rápido sem sair de casa",spam
"Você foi selecionado para receber um prêmio",spam
"Clique agora para liberar seu benefício",spam
"Promoção exclusiva disponível somente hoje",spam
"Seu cartão foi bloqueado acesse o link",spam
"Parabéns você ganhou um bônus especial",spam
"Oferta imperdível por tempo limitado",spam
"Ganhe seguidores grátis agora",spam
"Empréstimo aprovado sem consulta",spam
"Resgate seu prêmio antes que expire",spam
"Clique aqui para ganhar dinheiro hoje",spam
"Você recebeu uma oferta secreta",spam
"Seu cadastro foi premiado clique aqui",spam
"Ganhe um cupom exclusivo agora",spam
"Acesse o link para desbloquear sua conta",spam
"Última chance para receber seu desconto",spam
"Você ganhou uma viagem grátis",spam
"Seu benefício está disponível clique agora",spam
"Promoção relâmpago aproveite imediatamente",spam
"Ganhe renda extra todos os dias",spam
"Seu prêmio está esperando por você",spam
"Clique para confirmar seus dados bancários",spam
"Oferta especial liberada para seu perfil",spam
"Receba dinheiro no pix agora",spam
"Você foi escolhido para ganhar um sorteio",spam
"Acesse agora e receba seu bônus",spam
"Ganhe desconto exclusivo clicando neste link",spam
"Seu pagamento está pendente clique aqui",spam
"Conta bloqueada confirme seus dados",spam
"Você tem um presente esperando",spam
"Libere seu saque imediatamente",spam
"Ganhe dinheiro fácil pela internet",spam
"Seu CPF foi selecionado para promoção",spam
"Clique aqui para evitar cancelamento",spam
"Você ganhou crédito aprovado agora",spam
"Receba uma recompensa exclusiva hoje",spam
"Seu acesso será bloqueado clique aqui",spam
"Promoção urgente termina em poucos minutos",spam
"Confirme sua senha para continuar",spam
"Você recebeu um prêmio surpresa",spam
"Ganhe um celular novo gratuitamente",spam
"Clique para resgatar seu cupom premiado",spam
"Oferta liberada somente para você",spam
"Receba dinheiro rápido sem burocracia",spam
"Seu cadastro precisa de atualização urgente",spam
"Parabéns seu número foi sorteado",spam
"Acesse para receber seu pagamento agora",spam
"Ganhe bônus imediato no seu cadastro",spam
"Último aviso para resgatar seu prêmio",spam
"Seu benefício expira hoje clique aqui",spam
"Seu saldo especial foi liberado hoje",spam
"Clique no botão para receber sua recompensa",spam
"Você tem valores esquecidos para resgatar",spam
"Confirme sua identidade para desbloquear o acesso",spam
"Ganhe cashback instantâneo clicando aqui",spam
"Sua conta precisa de verificação urgente",spam
"Receba um pix surpresa agora mesmo",spam
"Você foi aprovado para limite extra",spam
"Liberação imediata disponível para seu CPF",spam
"Responda agora e ganhe um vale compras",spam
"Seu pacote gratuito está aguardando retirada",spam
"Ative sua promoção antes do fim do dia",spam
"Você ganhou pontos extras no programa secreto",spam
"Acesse para não perder sua bonificação",spam
"Seu cadastro foi escolhido para benefício exclusivo",spam
"Ganhe acesso premium sem pagar nada",spam
"Últimas vagas para receber dinheiro online",spam
"Seu token expirou clique para renovar",spam
"Pagamento bloqueado regularize pelo link",spam
"Receba seu presente digital imediatamente",spam
"Você tem uma oferta aprovada em seu nome",spam
"Atualização obrigatória para liberar sua conta",spam
"Seu prêmio será cancelado se não clicar",spam
"Ganhe renda automática pelo celular",spam
"Confirme o código para receber o bônus",spam
"Oferta privada liberada por tempo curto",spam
"Seu nome apareceu na lista de ganhadores",spam
"Acesse agora para validar sua premiação",spam
"Desbloqueie seu saque especial hoje",spam
"Você recebeu uma chance única de ganhar",spam
"Evite suspensão acessando este link",spam
"Seu benefício social precisa ser ativado",spam
"Receba crédito imediato sem análise",spam
"Ganhe desconto secreto usando este acesso",spam
"Seu cadastro bancário precisa ser confirmado",spam
"Clique para liberar seu vale presente",spam
"Sua recompensa expira em poucos minutos",spam
"Você foi contemplado em uma campanha especial",spam
"Ative agora seu pagamento pendente",spam
"Seu acesso foi limitado confirme seus dados",spam
"Ganhe dinheiro respondendo perguntas simples",spam
"Promoção escondida disponível no seu perfil",spam
"Seu número foi aprovado para prêmio instantâneo",spam
"Valide sua conta para evitar bloqueio",spam
"Liberação de valor disponível clique agora",spam
"Você tem um saque emergencial liberado",spam
"Acesse para desbloquear seu desconto máximo",spam
"Confirmação urgente necessária para continuar",spam
"Receba bônus exclusivo no seu primeiro acesso",spam
"Seu cupom especial vence hoje",spam
"Ative sua promoção antes do fim do dia",spam
"Ative sua oferta antes do fim do dia",spam
"Promoção disponível até o fim do dia",spam
"Ative seu desconto antes que acabe",spam
"Ative agora sua promoção exclusiva",spam
"Sua promoção expira no fim do dia",spam
"Última chance para ativar sua promoção",spam
"Clique para ativar sua promoção agora",spam
"Ative seu benefício promocional hoje",spam
"Promoção termina hoje ative agora",spam

"A promoção do trabalho foi apresentada hoje",nao_spam
"Vamos discutir a promoção da campanha amanhã",nao_spam
"O fim do dia será usado para revisar o projeto",nao_spam
"Preciso terminar a atividade antes do fim do dia",nao_spam
"Vamos ativar essa etapa do sistema amanhã",nao_spam
